UNITID,Similar School 1,Similar School 2,Similar School 3,Similar School 4,Similar School 5,Similar School 6,Similar School 7,Similar School 8,Similar School 9,Similar School 10,Similar School 11,Similar School 12,Similar School 13,Similar School 14,Similar School 15,Similar School 16,Similar School 17,Similar School 18,Similar School 19,Similar School 20,Similar School 21,Similar School 22,Similar School 23,Similar School 24,Similar School 25,Similar School 26,Similar School 27,Similar School 28,Similar School 29,Similar School 30
110398,190682,207315,196228,225511,448886,136172,137351,139940,122597,156125,407009,209807,420574,228769,204477,190512,181394,166708,190594,190549,190664,151111,220862,228778,236948,228787,145600,122755,174066,132903
110404,166683,217156,198419,195030,130794,130590,166027,166124,214175,236328,175980,210401,21997601,153144,100937,211440,243744,186131,227757,112260,147767,121345,224323,164465,190415,182670,216287,150534,221999,162928
110413,154235,193973,121309,236577,143358,137847,235316,166452,129525,177968,153269,112075,110361,167899,217402,130226,232706,121691,216597,129242,215770,111948,163046,122931,165334,199847,195030,14902801,129428,202480
110422,232423,170976,234076,199120,240444,231624,233921,243780,134130,130943,232681,199193,110644,214777,159391,163912,199218,191968,163851,197869,171100,183044,164076,106263,187134,237011,170082,145637,173920,151351
110468,122436,194310,228875,193654,122612,174914,148627,224226,186584,145725,159656,227845,120883,19554401,207971,20627906,145628,236595,195544,127060,144740,131159,239105,195809,206279,160755,212984,195720,132471,224147
110486,110556,185129,190637,167729,147776,126580,18017901,110608,10236809,106458,151102,110495,225627,110617,192439,226152,161873,190567,225432,241951,190600,102553,241766,186432,110510,224147,122597,243203,110592,225414
110495,185129,190637,226152,217420,24366501,151102,160038,110486,110608,139366,10236801,10236802,10236803,10236808,151379,101480,152248,227368,228459,171146,190600,110547,228501,110592,187444,224147,126580,18017901,230603,147776
110510,110574,235097,110556,142115,110617,110565,110583,122597,110538,185262,445188,104151,228787,234030,182290,209551,110592,227216,136172,134097,110529,130493,167729,213349,230764,182281,179566,100663,148654,140164
110529,110565,110583,110538,445188,123572,433660,187444,214607,185590,184782,140164,170082,185262,128771,174783,216764,149231,206604,165024,206941,214713,157447,169798,228459,214041,190512,122409,190664,122597,145600
110538,174783,209542,237011,233277,154095,164076,173920,198464,172699,110583,212115,230728,110529,220075,445188,218964,179557,160612,165866,237525,101879,141264,228459,157951,159993,206695,145600,123572,170082,209551
110547,227368,110608,190600,206695,110592,110538,185262,133669,174783,160612,110556,185129,228796,190637,110495,226152,228501,101480,228459,190567,110510,225502,110565,122597,110583,126562,445188,235097,110529,217420
110556,110608,110486,110617,190567,190600,122597,110583,110510,110592,190664,190594,136172,235097,190549,206084,190512,122755,228459,190558,187985,229027,110574,227368,228796,186432,185129,110547,190637,110565,145600
110565,140164,206941,157447,169798,122597,110529,132903,190594,190664,136172,185262,190549,190512,179894,171571,204477,142115,122755,190567,133951,110583,232186,228787,377555,185590,110538,123572,225511,137351,196228
110574,110510,110617,235097,142115,122755,110556,122597,110565,110538,110592,110583,110529,182281,228787,445188,174783,104151,182290,148654,230764,130493,167729,227216,190664,166708,136172,234030,181783,160658,140164
110583,122409,145600,122597,110538,216339,104179,110529,190594,136172,445188,190664,196130,190512,190549,178402,174783,157289,126580,110592,110556,110608,228459,122755,141574,240453,187985,190567,110617,236948,186399
110592,110608,190600,122597,110583,190664,126562,190558,185262,190594,110556,110617,228796,122755,110547,136172,227368,190549,172644,151102,185129,202134,190637,190512,190567,206695,110529,110510,110565,445188,228769
110608,190600,110592,110556,190567,110547,185129,227368,228796,190637,110583,122597,126562,185262,190594,190664,136172,190549,202134,228459,172644,190512,122755,110486,190558,187985,110495,110617,151102,229027,226152
110617,122755,110574,110556,110592,122597,235097,190664,110583,190594,190558,110510,136172,206084,190549,166638,190512,110608,110486,190567,190600,110529,110538,241739,228769,126562,110565,445188,145600,181394,104179
110635,110653,139959,218663,221759,178396,110662,110680,110644,110705,170976,163286,134130,110714,196088,134097,240444,215293,207500,153658,199218,181464,106397,126818,153603,217819,234076,199120,123961,228778,186380
110644,110680,110705,110653,110662,110635,110714,163286,196088,139959,207500,153658,215293,218663,181464,178396,221759,106397,153603,228778,199120,234076,186380,134130,170976,196097,240444,233921,123961,174066,135726
110653,110635,139959,218663,178396,221759,110680,110644,110662,110705,110714,134130,196088,163286,170976,134097,240444,207500,153658,215293,199218,181464,126818,106397,153603,217819,228778,186380,234076,199120,123961
